program,example_branch_cover_pct,notes,coverup_branch_numeric,coverup_valid_numeric
EigenvalueSolvers,82.98,EigenvalueSolvers	82.98 | OK,82.98,1
FiPyExtra_boundary_mask,100.00,FiPyExtra_boundary_mask	100.00 | OK,100.00,1
FiPyExtra_coefficient_shape,100.00,FiPyExtra_coefficient_shape	100.00 | OK,100.00,1
FiPyExtra_diffusion_tensor,100.00,FiPyExtra_diffusion_tensor	100.00 | OK,100.00,1
FiPyExtra_face_gradient,100.00,FiPyExtra_face_gradient	100.00 | OK,100.00,1
FiPyExtra_mesh_spacing_quality,100.00,FiPyExtra_mesh_spacing_quality	100.00 | OK,100.00,1
FiPyExtra_source_balance,100.00,FiPyExtra_source_balance	100.00 | OK,100.00,1
FiPyExtra_term_underrelax,100.00,FiPyExtra_term_underrelax	100.00 | OK,100.00,1
FiPyExtra_variable_constraint,100.00,FiPyExtra_variable_constraint	100.00 | OK,100.00,1
FiPy_boundary_conditions,89.19,FiPy_boundary_conditions	89.19 | OK,89.19,1
FiPy_cahn_hilliard_potential,100.00,FiPy_cahn_hilliard_potential	100.00 | OK,100.00,1
FiPy_chemotaxis_update,100.00,FiPy_chemotaxis_update	100.00 | OK,100.00,1
FiPy_convection_upwind,100.00,FiPy_convection_upwind	100.00 | OK,100.00,1
FiPy_diffusion_steady_state,100.00,FiPy_diffusion_steady_state	100.00 | OK,100.00,1
FiPy_level_set_distance,100.00,FiPy_level_set_distance	100.00 | OK,100.00,1
FiPy_mesh_spacing,100.00,FiPy_mesh_spacing	100.00 | OK,100.00,1
FiPy_phase_anisotropy,100.00,FiPy_phase_anisotropy	100.00 | OK,100.00,1
FiPy_residual_norm,100.00,FiPy_residual_norm	100.00 | OK,100.00,1
FiPy_source_term_balance,100.00,FiPy_source_term_balance	100.00 | OK,100.00,1
GaussianElimination1,100.00,GaussianElimination1	100.00 | OK,100.00,1
GaussianElimination2,?,GaussianElimination2	? | PYTEST_FAIL |  | no tests ran in 0.06s | Couldn't use data file 'D:\\ANONYMOUS_USER\\pycharm\\BCBT\\scientific_calculation\\GaussianElimination2\\coverup\\result_4o\\.coverage_61720_1778651688573826000': unable to open database file | ,0.00,0
GaussianElimination3,100.00,GaussianElimination3	100.00 | OK,100.00,1
LUDecompositionSolver,48.94,LUDecompositionSolver	48.94 | OK,48.94,1
LeastSquareFitting1,100.00,LeastSquareFitting1	100.00 | OK,100.00,1
